t,x,v
4.444444444444445,0.25858053446394397,-5.386854471229998
4.464464464464465,0.17899710136587177,-5.416577491844887
4.484484484484485,0.07112641186864596,-5.452988226170626
4.504504504504505,-0.06360187876120016,-5.502426100901152
4.524524524524525,-0.13272849171532533,-5.514606546783667
4.544544544544545,-0.2820462080268931,-5.597647171968202
4.564564564564565,-0.37446837441405373,-5.6603916586249
4.584584584584585,-0.5027234162841948,-5.684508883564296
4.604604604604605,-0.617287915551991,-5.739021820579291
4.624624624624625,-0.7702848888289555,-5.799991264624271
4.644644644644645,-0.8764707818043946,-5.801662125816233
4.664664664664665,-0.9762738071342189,-5.785447285249419
4.684684684684685,-1.0651888503916005,-5.872850552822593
4.704704704704705,-1.1978190636278123,-5.888848816874832
4.724724724724725,-1.3284440711612904,-5.901750043412002
4.744744744744745,-1.4288286496361708,-5.934611836642585
4.764764764764765,-1.538814110302958,-5.970627328237096
4.784784784784785,-1.6792187244291423,-5.913360731479482
4.804804804804805,-1.7944645272749327,-5.951712260807865
4.824824824824825,-1.9169530067307299,-5.981334028202803
4.844844844844845,-2.0400029468951324,-6.006416423839393
4.864864864864865,-2.1747168114839344,-6.0019226901724645
4.884884884884885,-2.2965427459679475,-6.002176330648149
4.904904904904905,-2.3782645677439342,-6.010533817509514
4.924924924924925,-2.526175136144799,-6.008557957999995
4.944944944944945,-2.647072700535386,-5.996076007224206
4.964964964964965,-2.797892964837264,-6.0160072128233475
4.984984984984985,-2.921310151646269,-6.031045562192463
5.005005005005005,-2.9742558067181877,-5.972414986957414
5.025025025025025,-3.135718165917169,-6.006853233773601
5.045045045045045,-3.3001170246450098,-5.971453958990329
5.065065065065065,-3.3115641581268878,-5.932951131671086
5.085085085085085,-3.489903549300475,-5.910684561616117
5.105105105105105,-3.6282098408028514,-5.901532490228069
5.125125125125125,-3.7127637258736996,-5.870161574557332
5.145145145145145,-3.816128729074304,-5.831646302504994
5.165165165165165,-3.9351436792268433,-5.819646096070028
5.185185185185185,-4.0464377018822155,-5.737874119382723
5.205205205205205,-4.198943875696854,-5.7500119926640005
5.225225225225225,-4.267179671917949,-5.695118736312252
5.245245245245245,-4.379325506914194,-5.656403747427607
5.265265265265265,-4.490904195929161,-5.598412043327266
5.285285285285285,-4.626484803246353,-5.520465142568641
5.305305305305305,-4.7495147147222365,-5.518531493552768
5.325325325325325,-4.860810789657616,-5.435847840433807
5.345345345345345,-4.991589872283639,-5.374571936500859
5.365365365365365,-5.078305128504786,-5.304040087956599
5.385385385385385,-5.2214347347124495,-5.27965891780525
5.405405405405405,-5.312008691002886,-5.2146491964121
5.425425425425425,-5.376711151403902,-5.1331827023429675
5.445445445445445,-5.488718102873221,-5.061544148640703
5.465465465465465,-5.580115657101408,-5.004595685042771
5.485485485485485,-5.66907222772601,-4.894553250981579
5.505505505505505,-5.772973639509655,-4.817390810521618
5.525525525525525,-5.870597376060429,-4.705885787368075
5.545545545545545,-5.972452270874448,-4.6681644654946215
5.565565565565565,-6.078246450356677,-4.595493628250376
5.585585585585585,-6.178759663076445,-4.5028615201747755
5.605605605605605,-6.24415539033466,-4.386071433531155
5.625625625625625,-6.328716607714835,-4.313198638176874
5.645645645645645,-6.3968089101097565,-4.185714716601067
5.665665665665665,-6.501104112885012,-4.113687702553574
5.685685685685685,-6.5680169882938735,-3.994535938180967
5.7057057057057055,-6.686949379574031,-3.8948902320875374
5.7257257257257255,-6.7296259354530195,-3.804359797896142
5.7457457457457455,-6.80578040739083,-3.7059298515456254
5.7657657657657655,-6.855347909585893,-3.540007586608421
5.7857857857857855,-6.957353679551477,-3.4435311090128473
5.8058058058058055,-7.068425142760101,-3.3574971904860584
5.8258258258258255,-7.0916723730727504,-3.2371566428740666
5.8458458458458455,-7.1346814893782255,-3.0549240206058164
5.865865865865866,-7.233233470781488,-2.9886271648244382
5.885885885885886,-7.26324050130743,-2.8145564785775483
5.905905905905906,-7.348120019234542,-2.714634136301527
5.925925925925926,-7.3404034892113925,-2.623464638532597
5.945945945945946,-7.453001624270833,-2.4677393000242183
5.965965965965966,-7.485697502038762,-2.309921712352792
5.985985985985986,-7.515674560957097,-2.2266952997772096
6.006006006006006,-7.552700850153023,-2.065932941657105
6.026026026026026,-7.577264428308542,-1.9283329557344
6.046046046046046,-7.652437729757015,-1.7646208017238103
6.066066066066066,-7.658572421402195,-1.6244582051759706
6.086086086086086,-7.738808681424311,-1.4790031941868693
6.106106106106106,-7.754156776433669,-1.3398224338220037
6.126126126126126,-7.787396198872821,-1.1888404490293385
6.146146146146146,-7.797551419828366,-1.0751888655522943
6.166166166166166,-7.786659147172566,-0.895059379075497
6.186186186186186,-7.829721652316692,-0.7198690402404341
6.206206206206206,-7.839725630778473,-0.5959534369869497
6.226226226226226,-7.835943296372195,-0.4554538064865099
6.246246246246246,-7.839222155342283,-0.2990165467975123
6.266266266266266,-7.8610923241968,-0.10526484069534334
6.286286286286286,-7.874755575917357,-0.023888589797394798
6.306306306306306,-7.819658540310043,0.23323045202978607
6.326326326326326,-7.8547459901598655,0.30231263474611947
6.346346346346346,-7.844425560241111,0.4949947553561972
6.366366366366366,-7.8303849304098945,0.6389205275287759
6.386386386386386,-7.800145757432198,0.8328809863575547
6.406406406406406,-7.823541552625257,0.9982443242623334
6.426426426426427,-7.731269451924006,1.1501690071165518
6.446446446446447,-7.754481285537241,1.3068912266637571
6.466466466466467,-7.70757322832742,1.4385830369847348
6.486486486486487,-7.68545748847392,1.6292470849875684
6.506506506506507,-7.617371890829702,1.7977579921080333
6.526526526526527,-7.583264067804849,1.9436068561875899
6.546546546546547,-7.563876003073186,2.1366944949260875
6.566566566566567,-7.548704449627485,2.2985928192618448
6.586586586586587,-7.459476838754334,2.4533496202742744
6.606606606606607,-7.4666714460435415,2.6242250589843663
6.626626626626627,-7.396688216490774,2.7823784494094883
6.646646646646647,-7.322784421249786,2.919586714752163
6.666666666666667,-7.292688315130387,3.1275682591664005
6.686686686686687,-7.206767259411166,3.230538736704662
6.706706706706707,-7.113276146116788,3.45079387301513
6.726726726726727,-7.072641690333844,3.582055286131488
6.746746746746747,-6.967780324783179,3.7778831043251984
6.766766766766767,-6.859729422540601,3.941188932104861
6.786786786786787,-6.81927814362249,4.090646506300622
6.806806806806807,-6.727127718416166,4.266923402782105
6.826826826826827,-6.631656079384124,4.4035944421652715
6.846846846846847,-6.57543989516766,4.563126440922734
6.866866866866867,-6.457789691564242,4.760377854664325
6.886886886886887,-6.386509807558448,4.878556913970941
6.906906906906907,-6.271653974974192,5.037645344473227
6.926926926926927,-6.156395656544758,5.1518255022279735
6.946946946946947,-6.086395647167438,5.334231757337654
6.966966966966967,-6.007643479669362,5.482271390514973
6.986986986986987,-5.867892151021671,5.6477578824486505
7.007007007007007,-5.712689563498195,5.795613274272182
7.027027027027027,-5.637962975587555,5.946535864492168
7.047047047047047,-5.475831252466379,6.073669791414974
7.067067067067067,-5.391598136456123,6.248155448306034
7.087087087087087,-5.251528286547562,6.3919395069487495
7.107107107107107,-5.118256988192041,6.5331670574436655
7.127127127127127,-5.006785642005887,6.6571039338592
7.147147147147147,-4.855650830762923,6.769237277163319
7.167167167167167,-4.74535324795932,6.941407461140417
7.187187187187187,-4.581085282351882,7.039243026534069
7.207207207207207,-4.433351799964792,7.212035391546506
7.227227227227227,-4.331829323573827,7.287050953811864
7.247247247247247,-4.156929276236558,7.4713711122887485
7.267267267267267,-3.982595035262936,7.580246256465362
7.287287287287287,-3.8583924016486795,7.662784353530637
7.307307307307307,-3.6715927474640053,7.804073475762011
7.327327327327327,-3.512203053595138,7.914281032144565
7.347347347347347,-3.3579655475072836,8.033653464154346
7.367367367367367,-3.186099530839675,8.156355530219775
7.387387387387387,-3.070009959104918,8.202200317371535
7.407407407407407,-2.851422977062952,8.374975878968467
7.4274274274274275,-2.7236611891638653,8.41518600237979
7.4474474474474475,-2.5310632881066364,8.569187733737115
7.4674674674674675,-2.3249518595860543,8.656054410298637
7.4874874874874875,-2.194323607807293,8.719935923460271
7.5075075075075075,-2.0108338963767975,8.820740354614824
7.5275275275275275,-1.8537895206405766,8.95343047247805
7.5475475475475475,-1.6185261777843143,9.017655346099692
7.5675675675675675,-1.491769679844422,9.091210957667396
7.587587587587588,-1.2781316473095983,9.15878395052327
7.607607607607608,-1.0820183941349018,9.235059509517837
7.627627627627628,-0.9068835796608181,9.304057416862163
7.647647647647648,-0.7281944247967425,9.32111528522059
7.667667667667668,-0.5453889530103508,9.407587068964197
7.687687687687688,-0.3835054629385369,9.510681332931236
7.707707707707708,-0.13304444739866594,9.55893106946894
7.727727727727728,0.02882262299699317,9.609786644423668
7.747747747747748,0.21628658136801654,9.63414307502959
7.767767767767768,0.3874129534351639,9.681586561391597
7.787787787787788,0.60456114132221,9.687362492502675
7.807807807807808,0.797158448032112,9.747762998415208
7.827827827827828,1.0296435472385332,9.799322733898556
7.847847847847848,1.1900344998553614,9.814601011409124
7.867867867867868,1.3873281640874136,9.829828350791407
7.887887887887888,1.5618798665902887,9.851171743397309
7.907907907907908,1.766057642144116,9.845509215203618
7.927927927927928,1.9889419235226053,9.890653576887052
7.947947947947948,2.1409273700133338,9.88865240996929
7.967967967967968,2.394644717487874,9.916510151712215
7.987987987987988,2.5933602660969655,9.89624362949034
8.008008008008009,2.754017252990282,9.869831231206602
8.028028028028029,2.9757644102947554,9.891012540542919
8.048048048048049,3.192369999095606,9.893213604005494
8.068068068068069,3.3614438528528905,9.829967478127605
8.088088088088089,3.5548021183875576,9.83867123370936
8.108108108108109,3.75378573804877,9.798069840691285
8.128128128128129,3.958991916157009,9.770666214661285
8.148148148148149,4.136859546261738,9.75390082004597
8.168168168168169,4.33616352663904,9.715282993194487
8.188188188188189,4.54366175183677,9.646140015667633
8.208208208208209,4.721694788498202,9.652007981552982
8.228228228228229,4.9002434375942725,9.531038781535637
8.248248248248249,5.077372851241627,9.519870327460058
8.268268268268269,5.305228021296919,9.45865207996411
8.288288288288289,5.517684547036986,9.345068604962432
8.308308308308309,5.688817730411703,9.363086644103621
8.328328328328329,5.8444652042915335,9.253414534023317
8.348348348348349,6.036624630088889,9.168107185382743
8.368368368368369,6.228275408298739,9.135370227285874
8.388388388388389,6.453040013226634,9.01678529549285
8.408408408408409,6.634175778754203,8.936772340758557
